RCS ID,DP,Value,Note,DP Name,Checked
B146540,MG_01,Charles MEYER,Resigned,NOT DP,Y
B146540,MG_02,Marc GIRAUDON,Resigned,NOT DP,Y
B146540,MG_03,Charlotte LAHAIJE-HULTMAN,Resigned,NOT DP,Y
B146540,MG_04,Robert SHORT,Resigned,NOT DP,Y
B146540,MG_05,John WANTZ,Active,NOT DP,Y
B146540,MG_06,Laura LAINE,Resigned,NOT DP,Y
B146540,MG_07,Martine GRÜN,Active,NOT DP,Y
B146540,MG_08,Ngoc Phung Lu_Ruchow,Active,NOT DP,Y
B146540,DP_001,04/06/2009,,NOT DP,Y
B146540,DP_002,Duration Unlimited,,NOT DP,Y
B146540,DP_006,04/06/2009,,NOT DP,Y
B146540,DP_007,31/12/2009,,NOT DP,Y
B146540,DP_008,01/01,,NOT DP,Y
B146540,DP_009,31/12,,NOT DP,Y
B146540,DP_049,text,copy paste text,NOT DP,Y
B172379,MG_01,Hans-Peter BENCKENDORFF,Resigned,NOT DP,
B172379,MG_02,Thomas KUTHER,Resigned,NOT DP,
B172379,MG_03,Holger EMMEL,Resigned,NOT DP,
B172379,MG_04,Marc-Oliver SCHARWATH,Resigned,NOT DP,
B172379,MG_05,Till PENSE,Active,NOT DP,
B172379,MG_06,Julia LAUX-BRAUCKMANN,Active,NOT DP,
B172379,MG_07,Albert ESSER,Active,NOT DP,
B172379,DP_001,26/10/2012,,NOT DP,
B172379,DP_002,Duration Unlimited,,NOT DP,
B172379,DP_006,26/10/2012,,NOT DP,
B172379,DP_007,31/12/2012,,NOT DP,
B172379,DP_008,01/01,,NOT DP,
B172379,DP_009,31/12,,NOT DP,
B172379,DP_049,text,copy paste text,NOT DP,
B202472,MG_01,Sandrine DE VUYST,Resigned,NOT DP,
B202472,MG_02,Alain CORDENIER,Active,NOT DP,
B202472,MG_03,Sebastien COLLARD,Resigned,NOT DP,
B202472,MG_04,Bernard LHERMITTE,Active,NOT DP,
B202472,MG_05,Katleen VAN GHEEL,Resigned,NOT DP,
B202472,MG_06,Wouter GESQUIÉRE,Active,NOT DP,
B202472,DP_001,11/12/2015,,NOT DP,
B202472,DP_002,YES,,NOT DP,
B202472,DP_006,11/12/2015,,NOT DP,
B202472,DP_007,31/12/2015,,NOT DP,
B202472,DP_008,01/01,,NOT DP,
B202472,DP_009,31/12,,NOT DP,
B202472,DP_049,text,copy paste text,NOT DP,
B230000,MG_01,Michael WENGROFSKY,Active,NOT DP,
B230000,MG_02,Casey CROOKS,Resigned,NOT DP,
B230000,MG_03,Nao MAEDA,Active,NOT DP,
B230000,MG_04,Viktor SCHUH,Resigned,NOT DP,
B230000,MG_05,Nuria PASTOR MARTORELL,Resigned,NOT DP,
B230000,MG_06,Juan GARCIA AVILA,Resigned,NOT DP,
B230000,MG_07,Narjiss RAQAI CHAOUI,Resigned,NOT DP,
B230000,MG_08,Lauren Stong LEYS,Active,NOT DP,
B230000,MG_09,Elisa Patricia MARTINEZ SIMON,Resigned,NOT DP,
B230000,MG_10,Pablo MOUZO PERNAS,Active,NOT DP,
B230000,MG_11,Cristina CRESPO CABRERA,Active,NOT DP,
B230000,MG_12,Sabrina PROMETTI,Active,NOT DP,
B230000,MG_13,Claire HEITZLER,Active,NOT DP,
B230000,DP_001,29/11/2018,,NOT DP,
B230000,DP_002,YES,,NOT DP,
B230000,DP_006,29/11/2018,,NOT DP,
B230000,DP_007,31/12/2018,,NOT DP,
B230000,DP_008,01/01,,NOT DP,
B230000,DP_009,31/12,,NOT DP,
B230000,DP_049,text,copy paste text,NOT DP,
B146504,MG_01,Philippe de PATOUL,Resigned,NOT DP,
B146504,MG_02,René FALTZ,Active,NOT DP,
B146504,MG_03,Nicolas KRUCHTEN,Resigned,NOT DP,
B146504,MG_04,Nikolas KRUCHTEN,Resigned,NOT DP,
B146504,MG_05,Tom FELGEN,Active,NOT DP,
B146504,MG_06,Laurent BARNICH,Active,NOT DP,
B146504,MG_07,Jean-Marie BONDIOLI,Active,NOT DP,
B146504,MG_08,Pandeli ECONOMO,Active,NOT DP,
B146504,MG_09,Jean FALTZ,Resigned,NOT DP,
B146504,DP_001,19/05/2009,,NOT DP,
B146504,DP_002,YES,,NOT DP,
B146504,DP_006,19/05/2009,,NOT DP,
B146504,DP_007,31/12/2009,,NOT DP,
B146504,DP_008,01/01,,NOT DP,
B146504,DP_009,31/12,,NOT DP,
B146504,DP_049,text,copy paste text,NOT DP,
B146507,MG_01,Fintan WHELAN,Resigned,NOT DP,
B146507,MG_02,Manus O'DONNELL,Resigned,NOT DP,
B146507,MG_03,Alan DUNDON,Active,NOT DP,
B146507,MG_04,Alain PEIGNEUX,Resigned,NOT DP,
B146507,MG_05,Eimear CAHALIN,Resigned,NOT DP,
B146507,MG_06,Fabrice MEEUWIS,Active,NOT DP,
B146507,MG_07,Catherine BAUDHUIN,Resigned,NOT DP,
B146507,MG_08,Mary QUANEY,Resigned,NOT DP,
B146507,MG_09,Paul CORRIGAN,Resigned,NOT DP,
B146507,MG_10,Ruth MOLLOY,Resigned,NOT DP,
B146507,MG_11,Fabrice HUBERTY,Resigned,NOT DP,
B146507,MG_12,Ismaël DIAN,Resigned,NOT DP,
B146507,MG_13,Michaël GOOSSE,Resigned,NOT DP,
B146507,MG_14,Christophe MAUVIÉRE,Resigned,NOT DP,
B146507,MG_15,Sinéad HOGAN,Resigned,NOT DP,
B146507,MG_16,Nicola ROONEY,Resigned,NOT DP,
B146507,MG_17,Renaud SABBE,Resigned,NOT DP,
B146507,MG_18,Jordan KEVIN,resigned,NOT DP,
B146507,MG_19,Réka Mariann FARIH-GODO,Active,NOT DP,
B146507,MG_20,Simon Thomas COUNSELL,Active,NOT DP,
B146507,MG_21,Catherine Margaret HAWTHORNE,resigned,NOT DP,
B146507,MG_22,Jennifer Geraldine SIMPSON,Active,NOT DP,
B146507,DP_001,26/05/2009,,NOT DP,
B146507,DP_002,YES,,NOT DP,
B146507,DP_006,26/05/2009,,NOT DP,
B146507,DP_007,31/12/2009,,NOT DP,
B146507,DP_008,01/01,,NOT DP,
B146507,DP_009,31/12,,NOT DP,
B146507,DP_049,text,copy paste text,NOT DP,
B146508,MG_01,Fintan WHELAN,Resigned,NOT DP,
B146508,MG_02,Manus O'DONNELL,Resigned,NOT DP,
B146508,MG_03,Alan DUNDON,Active,NOT DP,
B146508,MG_04,Alain PEIGNEUX,Resigned,NOT DP,
B146508,MG_05,Eimear CAHALIN,Resigned,NOT DP,
B146508,MG_06,Fabrice MEEUWIS,Active,NOT DP,
B146508,MG_07,Catherine BAUDHUIN,Resigned,NOT DP,
B146508,MG_08,Mary QUANEY,Resigned,NOT DP,
B146508,MG_09,Paul CORRIGAN,Resigned,NOT DP,
B146508,MG_10,Ruth MOLLOY,Resigned,NOT DP,
B146508,MG_11,Fabrice HUBERTY,Resigned,NOT DP,
B146508,MG_12,Ismaël DIAN,Resigned,NOT DP,
B146508,MG_13,Michaël GOOSSE,Resigned,NOT DP,
B146508,MG_14,Christophe MAUVIÉRE,Resigned,NOT DP,
B146508,MG_15,Sinéad HOGAN,Resigned,NOT DP,
B146508,MG_16,Nicola ROONEY,Resigned,NOT DP,
B146508,MG_17,Renaud SABBE,Resigned,NOT DP,
B146508,MG_18,Jordan KEVIN,resigned,NOT DP,
B146508,MG_19,Réka Mariann FARIH-GODO,Active,NOT DP,
B146508,MG_20,Simon Thomas COUNSELL,Active,NOT DP,
B146508,MG_21,Catherine Margaret HAWTHORNE,resigned,NOT DP,
B146508,MG_22,Jennifer Geraldine SIMPSON,Active,NOT DP,
B146508,DP_001,26/05/2009,,NOT DP,
B146508,DP_002,YES,,NOT DP,
B146508,DP_006,26/05/2009,,NOT DP,
B146508,DP_007,31/12/2009,,NOT DP,
B146508,DP_008,01/01,,NOT DP,
B146508,DP_009,31/12,,NOT DP,
B146508,DP_049,text,copy paste text,NOT DP,
B146508,MG_01,Janet HENNESSY,Resigned,NOT DP,
B146508,MG_02,Andrew COLLIER,Resigned,NOT DP,
B146508,MG_03,Myriam DELTENRE,Resigned,NOT DP,
B146508,MG_04,Eileen SIVOLLELA,Resigned,NOT DP,
B146508,MG_05,Aurélie COMPTOUR,Active,NOT DP,
B146508,MG_06,Justin NUCCIO,Active,NOT DP,
B146508,MG_07,Jean-François JOCHUM,Active,NOT DP,
B146508,DP_001,25/05/2009,,NOT DP,
B146508,DP_002,YES,,NOT DP,
B146508,DP_006,26/05/2009,,NOT DP,
B146508,DP_007,31/12/2009,,NOT DP,
B146508,DP_008,01/01,,NOT DP,
B146508,DP_009,31/12,,NOT DP,
B146508,DP_049,text,copy paste text,NOT DP,
B146518,MG_01,Christphe FENDER,Resigned,NOT DP,
B146518,MG_02,Bruno VANDERSCHELDEN,Resigned,NOT DP,
B146518,MG_03,Pierre de BACKER,Active,NOT DP,
B146518,MG_04,Stéphane WEYDERS,Resigned,NOT DP,
B146518,MG_05,Chantal VALET,Active,NOT DP,
B146518,MG_06,Umberto CERASI,Resigned,NOT DP,
B146518,MG_07,Julien DECELLE,Active,NOT DP,
B146518,MG_08,Nathalie LETT,Active,,
B146518,DP_001,03/06/2009,,NOT DP,
B146518,DP_002,YES,,NOT DP,
B146518,DP_006,03/06/2009,,NOT DP,
B146518,DP_007,31/12/2009,,NOT DP,
B146518,DP_008,01/01,,NOT DP,
B146518,DP_009,31/12,,NOT DP,
B146518,DP_049,text,copy paste text,NOT DP,
B146519,MG_01,Mathias GIEBKEN,resigned,NOT DP,
B146519,MG_02,Norbert ROLF,resigned,NOT DP,
B146519,MG_03,Dan-David GOLLA,Active,NOT DP,
B146519,MG_04,Susan WINTER,resigned,NOT DP,
B146519,MG_05,Ralf OTZEN,resigned,NOT DP,
B146519,MG_06,Harald STRELEN,Active,NOT DP,
B146519,MG_07,Ronan Jean Georges BODÉRÉ,resigned,NOT DP,
B146519,MG_08,Benjamin MERTENS,Active,,
B146519,MG_09,Panagiota ROUMOUDI,Active,,
B146519,DP_001,26/05/2009,,NOT DP,
B146519,DP_002,YES,,NOT DP,
B146519,DP_006,26/05/2009,,NOT DP,
B146519,DP_007,31/12/2009,,NOT DP,
B146519,DP_008,01/01,,NOT DP,
B146519,DP_009,31/12,,NOT DP,
B146519,DP_049,text,copy paste text,NOT DP,